user_id,explanation_id,start_time,end_time,duration_seconds,source,platform
1,e356,2019-08-06 13:11:42.706,2019-08-06 13:12:27.894,45.188,sprint,mobile
1,e1382,2019-08-06 13:12:52.828,2019-08-06 13:13:33.739,40.911,sprint,mobile
1,e830,2019-08-06 13:14:01.571,2019-08-06 13:14:33.430,31.859,sprint,mobile
1,e8312,2019-08-06 13:14:58.887,2019-08-06 13:15:25.457,26.57,sprint,mobile
1,e1092,2019-08-06 13:15:48.135,2019-08-06 13:16:12.586,24.451,sprint,mobile
1,e524,2019-08-06 13:16:37.421,2019-08-06 13:17:04.592,27.171,sprint,mobile
1,e485,2019-08-06 13:17:28.760,2019-08-06 13:17:51.895,23.135,sprint,mobile
1,e8314,2019-08-06 13:18:17.974,2019-08-06 13:18:43.292,25.318,sprint,mobile
1,e1329,2019-08-06 13:19:06.076,2019-08-06 13:19:28.247,22.171,sprint,mobile
1,e1204,2019-08-06 13:19:49.826,2019-08-06 13:20:11.532,21.706,sprint,mobile
1,e485,2019-08-06 13:20:30.584,2019-08-06 13:20:49.941,19.357,review,mobile
1,e485,2019-08-06 13:22:04.975,2019-08-06 13:22:11.276,6.301,my_note,mobile
1,e3423,2019-08-06 21:22:51.092,2019-08-06 21:23:16.478,25.386,sprint,mobile
1,e4009,2019-08-06 21:23:54.237,2019-08-06 21:24:23.448,29.211,sprint,mobile
1,e3581,2019-08-06 21:25:12.936,2019-08-06 21:25:49.647,36.711,sprint,mobile
1,e11448,2019-08-06 21:26:27.959,2019-08-06 21:27:09.583,41.624,sprint,mobile
1,e3292,2019-08-06 22:28:02.859,2019-08-06 22:29:21.958,79.099,sprint,mobile
1,e4489,2019-08-06 22:29:53.578,2019-08-06 22:30:11.721,18.143,sprint,mobile
1,e2573,2019-08-06 22:30:49.364,2019-08-06 22:31:09.989,20.625,sprint,mobile
1,e5984,2019-08-06 22:31:38.430,2019-08-06 22:31:57.598,19.168,sprint,mobile
1,e3012,2019-08-06 22:32:28.393,2019-08-06 22:32:58.120,29.727,sprint,mobile
1,e2566,2019-08-06 22:33:10.510,2019-08-06 22:33:28.698,18.188,sprint,mobile
1,e3292,2019-08-06 22:33:39.474,2019-08-06 22:33:44.106,4.632,review,mobile
1,e11448,2019-08-06 22:33:47.687,2019-08-06 22:33:53.081,5.394,review,mobile
1,e3581,2019-08-06 22:33:56.608,2019-08-06 22:33:59.324,2.716,review,mobile
1,e325,2019-08-07 13:26:06.274,2019-08-07 13:26:49.493,43.219,sprint,mobile
1,e295,2019-08-07 13:27:10.222,2019-08-07 13:28:06.514,56.292,sprint,mobile
1,e351,2019-08-07 13:28:28.335,2019-08-07 13:29:30.183,61.848,sprint,mobile
1,e1298,2019-08-07 13:29:53.486,2019-08-07 13:30:38.579,45.093,sprint,mobile
1,e1234,2019-08-07 13:30:57.951,2019-08-07 13:31:49.001,51.05,sprint,mobile
1,e8316,2019-08-07 13:32:11.217,2019-08-07 13:33:07.558,56.341,sprint,mobile
1,e391,2019-08-07 13:33:31.812,2019-08-07 13:34:28.851,57.039,sprint,mobile
1,e1010,2019-08-07 13:34:47.957,2019-08-07 13:35:32.859,44.902,sprint,mobile
1,e563,2019-08-07 13:35:56.583,2019-08-07 13:36:52.130,55.547,sprint,mobile
1,e8315,2019-08-07 13:37:13.692,2019-08-07 13:38:06.444,52.752,sprint,mobile
1,e2443,2019-08-07 13:39:49.816,2019-08-07 13:40:51.616,61.8,sprint,mobile
1,e7137,2019-08-07 13:41:15.759,2019-08-07 13:41:39.767,24.008,sprint,mobile
1,e3058,2019-08-07 13:42:14.413,2019-08-07 13:42:59.014,44.601,sprint,mobile
1,e3763,2019-08-07 13:43:50.599,2019-08-07 13:44:14.373,23.774,sprint,mobile
1,e3217,2019-08-07 13:44:40.455,2019-08-07 13:45:01.676,21.221,sprint,mobile
1,e11486,2019-08-07 13:45:23.146,2019-08-07 13:45:45.716,22.57,sprint,mobile
1,e3920,2019-08-07 13:46:47.108,2019-08-07 13:47:07.514,20.406,sprint,mobile
