user_id,bundle_id,timestamp,raw_mastery,raw_recent_accuracy,mastery_level,recent_accuracy_level,lectures_seen,lesson_level,weak_skill,weak_skill_id,state
1,b3544,2019-08-06 12:55:51.269,0.5,0.5,1,1,0,0,-1,0,"(1, 1, 0, 0)"
1,b3238,2019-08-06 12:56:35.001,0.0,0.0,0,0,0,0,74,160,"(0, 0, 0, 160)"
1,b2898,2019-08-06 12:57:03.119,0.5,0.5,1,1,0,0,74,160,"(1, 1, 0, 160)"
1,b3361,2019-08-06 12:58:16.012,0.6666666666666666,0.6666666666666666,1,1,0,0,74,160,"(1, 1, 0, 160)"
1,b5060,2019-08-06 12:59:01.395,0.5,0.5,1,1,0,0,74,160,"(1, 1, 0, 160)"
1,b3325,2019-08-06 13:00:03.559,0.4,0.4,1,1,0,0,74,160,"(1, 1, 0, 160)"
1,b5020,2019-08-06 13:01:05.497,0.3333333333333333,0.3333333333333333,0,0,0,0,74,160,"(0, 0, 0, 160)"
1,b356,2019-08-06 13:11:16.398,0.42857142857142855,0.42857142857142855,1,1,1,1,74,160,"(1, 1, 1, 160)"
1,b1382,2019-08-06 13:12:27.947,0.6666666666666666,0.5,1,1,1,1,74,160,"(1, 1, 1, 160)"
1,b830,2019-08-06 13:13:33.786,0.7333333333333333,0.5555555555555556,2,1,1,1,74,160,"(2, 1, 1, 160)"
1,b8312,2019-08-06 13:14:33.496,0.7894736842105263,0.6,2,1,1,1,74,160,"(2, 1, 1, 160)"
1,b1092,2019-08-06 13:15:25.534,0.8095238095238095,0.7,2,2,1,1,74,160,"(2, 2, 1, 160)"
1,b524,2019-08-06 13:16:12.666,0.8181818181818182,0.7,2,2,1,1,74,160,"(2, 2, 1, 160)"
1,b485,2019-08-06 13:17:04.640,0.84,0.7,2,2,1,1,74,160,"(2, 2, 1, 160)"
1,b8314,2019-08-06 13:17:51.941,0.7467948717948717,0.7,2,2,1,1,74,160,"(2, 2, 1, 160)"
1,b1329,2019-08-06 13:18:43.360,0.7551282051282051,0.8,2,2,1,1,74,160,"(2, 2, 1, 160)"
1,b1204,2019-08-06 13:19:28.316,0.767283950617284,0.9,2,2,1,1,74,160,"(2, 2, 1, 160)"
1,b3423,2019-08-06 21:22:20.026,0.767283950617284,0.9,2,2,1,1,74,160,"(2, 2, 1, 160)"
1,b4009,2019-08-06 21:23:16.564,0.7755952380952381,0.9,2,2,1,1,74,160,"(2, 2, 1, 160)"
1,b3581,2019-08-06 21:24:23.511,0.7833333333333334,0.9,2,2,1,1,74,160,"(2, 2, 1, 160)"
1,b11448,2019-08-06 21:25:49.716,0.7572222222222222,0.8,2,2,1,1,74,160,"(2, 2, 1, 160)"
1,b3292,2019-08-06 22:27:18.411,0.7327956989247313,0.7,2,2,1,1,74,160,"(2, 2, 1, 160)"
1,b4489,2019-08-06 22:29:22.070,0.7098958333333334,0.6,2,1,1,1,74,160,"(2, 1, 1, 160)"
1,b2573,2019-08-06 22:30:11.780,0.7186868686868687,0.6,2,1,1,1,74,160,"(2, 1, 1, 160)"
1,b5984,2019-08-06 22:31:10.070,0.7269607843137256,0.7,2,2,1,1,74,160,"(2, 2, 1, 160)"
1,b3012,2019-08-06 22:31:57.643,0.7347619047619048,0.7,2,2,1,1,74,160,"(2, 2, 1, 160)"
1,b2566,2019-08-06 22:32:58.192,0.7421296296296297,0.7,2,2,1,1,74,160,"(2, 2, 1, 160)"
1,b325,2019-08-07 13:25:41.481,0.7490990990990991,0.7,2,2,1,1,74,160,"(2, 2, 1, 160)"
