user_id,bundle_id,question_id,bundle_start_timestamp,timestamp,submit_timestamp,source,platform,user_answer,explanation_id,correct_answer,part,tags,skill_id,is_correct,recent_mastery
1,b5561,q8090,2019-09-18 00:27:41.800,2019-09-18 00:28:06.033,2019-09-18 00:28:09.533,sprint,mobile,d,e5561,d,1,1;2;185,1,1.0,0.5
1,b8235,q11182,2019-09-18 14:13:05.651,2019-09-18 14:13:29.868,2019-09-18 14:14:02.906,sprint,mobile,d,e8235,d,1,10;7;183,10,1.0,0.5
1,b5641,q8170,2019-09-26 08:02:07.781,2019-09-26 08:02:39.342,2019-09-26 08:02:42.576,sprint,mobile,d,e5641,a,1,10;7;184,10,0.0,1.0
1,b174,q174,2019-09-26 08:30:47.715,2019-09-26 08:31:22.023,2019-09-26 08:31:25.354,sprint,mobile,d,e174,a,1,10;7;183,10,0.0,0.5
1,b5641,q8170,2019-09-26 08:32:54.892,2019-09-26 08:33:08.035,2019-09-26 08:33:23.592,adaptive_offer,mobile,a,e5641,a,1,10;7;184,10,1.0,0.3333333333333333
1,b174,q174,2019-09-26 08:33:51.123,2019-09-26 08:34:02.335,2019-09-26 08:34:20.323,adaptive_offer,mobile,a,e174,a,1,10;7;183,10,1.0,0.5
1,b108,q108,2019-09-26 08:35:12.812,2019-09-26 08:35:28.044,2019-09-26 08:35:38.760,sprint,mobile,a,e108,a,1,10;7;182,10,1.0,0.6
1,b3322,q4790,2019-08-29 21:47:23.657,2019-08-29 21:47:57.665,2019-08-29 21:48:01.298,sprint,mobile,b,e3322,b,5,100,100,1.0,0.5
1,b4295,q5763,2019-08-25 21:40:09.934,2019-08-25 21:40:44.122,2019-08-25 21:40:47.208,sprint,mobile,b,e4295,d,5,101,101,0.0,0.5
1,b3091,q4559,2019-08-09 00:28:20.602,2019-08-09 00:28:46.856,2019-08-09 00:28:58.777,sprint,mobile,b,e3091,b,5,102,102,1.0,0.5
1,b5146,q6740,2019-09-26 03:07:52.727,2019-09-26 03:08:02.103,2019-09-26 03:08:32.286,sprint,mobile,c,e5146,c,5,102,102,1.0,1.0
