user_id,lecture_id,start_time,end_time,duration_seconds,source,platform,part,tags,video_length,video_length_seconds,deployed_at,completion_ratio,valid_video_length
1,l504,2019-08-06 13:03:57.922,2019-08-06 13:10:07.903,369.981,archive,mobile,5,103,263000,263.0,1570425956244,1.0,True
1,l464,2019-09-10 12:57:17.376,2019-09-10 13:02:55.616,338.24,archive,mobile,3,52,181000,181.0,1570425490998,1.0,True
1,l463,2019-09-10 13:02:55.929,2019-09-10 13:06:47.905,231.976,archive,mobile,3,53,157000,157.0,1570425486721,1.0,True
1,l463,2019-09-10 13:07:03.309,2019-09-10 13:08:05.206,61.897,archive,mobile,3,53,157000,157.0,1570425486721,0.3942484076433121,True
1,l462,2019-09-10 13:08:05.352,2019-09-10 13:14:17.114,371.762,archive,mobile,3,55,120000,120.0,1570425483199,1.0,True
1,l316,2019-09-10 13:14:39.019,2019-09-10 13:20:48.931,369.912,archive,mobile,-1,-1,-1,,-1,,False
1,l364,2019-09-16 13:42:13.448,2019-09-16 13:43:48.552,95.104,archive,mobile,-1,-1,-1,,-1,,False
1,l319,2019-09-16 13:43:48.654,2019-09-16 13:47:30.943,222.289,archive,mobile,-1,-1,-1,,-1,,False
1,l351,2019-09-16 13:47:31.033,2019-09-16 13:50:41.387,190.354,archive,mobile,-1,-1,-1,,-1,,False
1,l231,2019-09-22 12:12:26.219,2019-09-22 12:21:01.971,515.752,archive,mobile,-1,-1,-1,,-1,,False
1,l228,2019-09-22 12:21:02.092,2019-09-22 12:26:28.991,326.899,archive,mobile,-1,-1,-1,,-1,,False
1,l223,2019-09-22 12:26:29.121,2019-09-22 12:35:27.912,538.791,archive,mobile,-1,-1,-1,,-1,,False
1,l229,2019-09-22 12:35:28.041,2019-09-22 12:41:20.039,351.998,archive,mobile,-1,-1,-1,,-1,,False
1,l230,2019-09-22 12:41:20.148,2019-09-22 12:47:35.411,375.263,archive,mobile,-1,-1,-1,,-1,,False
1,l225,2019-09-24 09:26:53.522,2019-09-24 09:33:46.345,412.823,archive,mobile,-1,-1,-1,,-1,,False
1,l266,2019-09-24 13:18:21.511,2019-09-24 13:23:58.466,336.955,archive,mobile,-1,-1,-1,,-1,,False
1,l332,2019-09-24 13:24:13.709,2019-09-24 13:26:36.979,143.27,archive,mobile,-1,-1,-1,,-1,,False
1,l485,2019-09-26 02:56:30.736,2019-09-26 03:00:44.215,253.479,adaptive_offer,mobile,5,77,190000,190.0,1570425759703,1.0,True
1,l560,2019-09-27 12:37:22.266,2019-09-27 12:42:43.530,321.264,adaptive_offer,mobile,6,76,264000,264.0,1570426335335,1.0,True
1,l560,2019-09-27 12:54:00.919,2019-09-27 12:56:40.108,159.189,adaptive_offer,mobile,6,76,264000,264.0,1570426335335,0.6029886363636363,True
